,Meand13C,SDd13C,Meand15N,SDd15N,Concd13C,Concd15N,n
1,-12.8,0.3,2.5,0.6,0.335,0.01,5
2,-22.9,1.1,8,1.4,0.068,0.01,5
3,-19.55,0.9,2.73,0.5,0.118,0.01,6
